film_title,customers
DOZEN LION,"BRUCE SCHWARZ, CATHERINE CAMPBELL, DANIELLE DANIELS, JAY ROBB, MARION OCAMPO, TONY CARRANZA, WILLIE MARKHAM"
DRACULA CRYSTAL,"CASSANDRA WALTERS, CLIFTON MALCOLM, DARRELL POWER, DIANA ALEXANDER, EVELYN MORGAN, FRED WHEAT, HOWARD FORTNER, JIM REA, KURT EMMONS, LORETTA CARPENTER, LOUISE JENKINS, MICHELLE CLARK, NANCY THOMAS, REGINALD KINDER, SIDNEY BURLESON, TYRONE ASHER, VICKI FIELDS, VICTOR BARKLEY, VIOLA HANSON, VIOLET RODRIQUEZ, WENDY HARRISON"
DRAGON SQUAD,"EDGAR RHOADS, FRANCISCO SKIDMORE, JOANN GARDNER, JORDAN ARCHULETA, JOSE ANDREW, KYLE SPURLOCK, MICHELLE CLARK, RUSSELL BRINSON, TANYA GILBERT, VICKIE BREWER, WAYNE TRUONG"
DRAGONFLY STRANGERS,"ALMA AUSTIN, ANNETTE OLSON, CHERYL MURPHY, DORIS REED, EDDIE TOMLIN, GRACE ELLIS, JAMIE RICE, JAY ROBB, KELLY KNOTT, LENA JENSEN, MARCIA DEAN, MARGIE WADE, MARK RINEHART, RANDALL NEUMANN, RICARDO MEADOR, SCOTT SHELLEY, SONIA GREGORY, VIOLET RODRIQUEZ"
DREAM PICKUP,"BRADLEY MOTLEY, CAROLYN PEREZ, CHESTER BENNER, DONNA THOMPSON, FELICIA SUTTON, GUY BROWNLEE, HARVEY GUAJARDO, JANICE WARD, JENNIE TERRY, JOHN FARNSWORTH, MARIAN MENDOZA, MONICA HICKS, NORMAN CURRIER, RAYMOND MCWHORTER, RENE MCALISTER, RICHARD MCCRARY, RICK MATTOX, SONIA GREGORY, STACY CUNNINGHAM, TRAVIS ESTEP, VICTOR BARKLEY, YVONNE WATKINS"
DRIFTER COMMANDMENTS,"AARON SELBY, AGNES BISHOP, ARNOLD HAVENS, ARTHUR SIMPKINS, BETTY WHITE, CHARLES KOWALSKI, CRYSTAL FORD, DEBORAH WALKER, DON BONE, EDUARDO HIATT, ELLA OLIVER, JACKIE LYNCH, JERRY JORDON, JON WILES, JOY GEORGE, JULIA FLORES, KELLY KNOTT, LESLIE SEWARD, MATTIE HOFFMAN, MINNIE ROMERO, PETER MENARD, RAMONA HALE, TOMMY COLLAZO"
DRIVER ANNIE,"BRANDY GRAVES, CHRISTINE ROBERTS, CLINTON BUFORD, COURTNEY DAY, DANIELLE DANIELS, DEAN SAUER, GLENN PULLEN, IVAN CROMWELL, JACK FOUST, KYLE SPURLOCK, LEROY BUSTAMANTE, MILTON HOWLAND, PATRICIA JOHNSON, ROLAND SOUTH, STELLA MORENO, WANDA PATTERSON, WILLIE MARKHAM"
DRIVING POLISH,"ALBERTO HENNING, ALICIA MILLS, BRANDY GRAVES, CHERYL MURPHY, CHRISTOPHER GRECO, COREY HAUSER, ERICA MATTHEWS, ETHEL WEBB, JAMIE WAUGH, JORGE OLIVARES, JOSEPH JOY, MARION SNYDER, PHYLLIS FOSTER, RAUL FORTIER, SALLY PIERCE, SCOTT SHELLEY, TROY QUIGLEY, VANESSA SIMS, VIRGIL WOFFORD, WARREN SHERROD, WILLIE MARKHAM"
DROP WATERFRONT,"ERICA MATTHEWS, GEORGE LINTON, GREG ROBINS, JAIME NETTLES, JEFF EAST, LAURA RODRIGUEZ, MELISSA KING, OSCAR AQUINO, RAMON CHOATE"
DRUMLINE CYCLONE,"AARON SELBY, DENISE KELLY, EILEEN CARR, ELSIE KELLEY, JACOB LANCE, JACQUELINE LONG, LEON BOSTIC, MARION OCAMPO, MARLENE WELCH, MAUREEN LITTLE, TOMMY COLLAZO"
DRUMS DYNAMITE,"CAROLE BARNETT, HILDA HOPKINS, IRMA PEARSON, JAVIER ELROD, JAY ROBB, JIMMIE EGGLESTON, LOUIS LEONE, MARTIN BALES, MARVIN YEE, MELISSA KING, OSCAR AQUINO, PATRICK NEWSOM, PHILIP CAUSEY"
DUCK RACER,"CHESTER BENNER, FELICIA SUTTON, GERALDINE PERKINS, JULIO NOLAND, RUSSELL BRINSON, SHANE MILLARD"
DUDE BLINDNESS,"ANDRE RAPP, CHRISTY VARGAS, CLAUDIA FULLER, DENNIS GILMAN, HARRY ARCE, HAZEL WARREN, JAMIE WAUGH, JENNIE TERRY, KEN PREWITT, LEAH CURTIS, MARJORIE TUCKER, MATTHEW MAHAN, MELINDA FERNANDEZ, NATALIE MEYER, RAMON CHOATE, SHIRLEY ALLEN"
DUFFEL APOCALYPSE,"BRIAN WYMAN, EDWIN BURK, GLENN PULLEN, IVAN CROMWELL, JUSTIN NGO, SAMANTHA DUNCAN, TERRENCE GUNDERSON"
DUMBO LUST,"BERTHA FERGUSON, CHERYL MURPHY, JACK FOUST, JULIO NOLAND, KARL SEAL, NORMAN CURRIER"
DURHAM PANKY,"ALFREDO MCADAMS, CARRIE PORTER, DEAN SAUER, DON BONE, ELIZABETH BROWN, EMILY DIAZ, ENRIQUE FORSYTHE, GABRIEL HARDER, GEORGE LINTON, GLADYS HAMILTON, JAY ROBB, JEAN BELL, JENNY CASTRO, JIMMY SCHRADER, JOANNE ROBERTSON, KARL SEAL, KEVIN SCHULER, LINDA WILLIAMS, MIRIAM MCKINNEY, RAMONA HALE, RICK MATTOX, RUTH MARTINEZ, SARA PERRY, TYLER WREN, VANESSA SIMS"
DWARFS ALTER,"CASEY MENA, ELAINE STEVENS, ERIKA PENA, JACK FOUST, JEFFREY SPEAR, KEITH RICO, KRISTEN CHAVEZ, MICHELLE CLARK, REGINA BERRY"
DYING MAKER,"ANNE POWELL, CATHY SPENCER, CYNTHIA YOUNG, DUSTIN GILLETTE, ESTHER CRAWFORD, ISAAC OGLESBY, JANET PHILLIPS, JULIA FLORES, KEN PREWITT, LEE HAWKS, MARCIA DEAN, MARTHA GONZALEZ, NEIL RENNER, ROY WHITING, TAMMY SANDERS, TINA SIMMONS, WALLACE SLONE"
DYNAMITE TARZAN,"ALAN KAHN, ANDY VANHORN, ANN EVANS, ANTHONY SCHWAB, BRANDON HUEY, CHARLIE BESS, DEAN SAUER, EDNA WEST, ELIZABETH BROWN, EMILY DIAZ, HEATHER MORRIS, HEIDI LARSON, JESSICA HALL, JESUS MCCARTNEY, KEVIN SCHULER, LEONA OBRIEN, LONNIE TIRADO, LORRAINE STEPHENS, MARILYN ROSS, MAUREEN LITTLE, MIKE WAY, PEDRO CHESTNUT, SHEILA WELLS, TODD TAN, VICTORIA GIBSON"
EAGLES PANKY,"BRITTANY RILEY, CHRISTINE ROBERTS, CHRISTY VARGAS, CLIFFORD BOWENS, GORDON ALLARD, JENNIE TERRY, JESSIE MILAM, JON WILES, JOSHUA MARK, LAWRENCE LAWTON, MARIO CHEATHAM, RUBEN GEARY, SETH HANNON, SHERRY MARSHALL, STANLEY SCROGGINS, STEVEN CURLEY, TAMARA NGUYEN, TRACEY BARRETT, TRAVIS ESTEP, VIOLA HANSON, YVONNE WATKINS"
EARLY HOME,"CLAYTON BARBEE, DEBORAH WALKER, IRENE PRICE, JOSEPHINE GOMEZ, THOMAS GRIGSBY, TONYA CHAPMAN, TRAVIS ESTEP"
EARRING INSTINCT,"AMANDA CARTER, AMBER DIXON, ANDY VANHORN, BILLIE HORTON, CARLOS COUGHLIN, CHRISTY VARGAS, EMILY DIAZ, GUY BROWNLEE, JUAN FRALEY, JUANITA MASON, KRISTIN JOHNSTON, LESLIE GORDON, LUCY WHEELER, MARK RINEHART, RENEE LANE, SHAWN HEATON, SIDNEY BURLESON, VANESSA SIMS, VICTORIA GIBSON"
EARTH VISION,"ALVIN DELOACH, ANNE POWELL, ANNIE RUSSELL, ASHLEY RICHARDSON, BECKY MILES, CAROL GARCIA, CAROLE BARNETT, CORY MEEHAN, DAISY BATES, DANIELLE DANIELS, DORIS REED, ELLA OLIVER, GINA WILLIAMSON, HILDA HOPKINS, IRENE PRICE, MABEL HOLLAND, MINNIE ROMERO, RON DELUCA, SERGIO STANFIELD, STEPHEN QUALLS, VERONICA STONE, WESLEY BULL, WILLIE HOWELL"
EASY GLADIATOR,"CARRIE PORTER, CHARLIE BESS, CORY MEEHAN, CRYSTAL FORD, CURTIS IRBY, CYNTHIA YOUNG, DONNA THOMPSON, ERIC ROBERT, FRANCIS SIKES, JEAN BELL, JOAN COOPER, JUAN FRALEY, JUSTIN NGO, KATHRYN COLEMAN, KATHY JAMES, KELLY TORRES, MELISSA KING, MITCHELL WESTMORELAND, RENEE LANE, ROBERT BAUGHMAN, RONALD WEINER, YOLANDA WEAVER"
EDGE KISSING,"BILL GAVIN, CECIL VINES, DEAN SAUER, DERRICK BOURQUE, EDWARD BAUGH, GILBERT SLEDGE, JIMMY SCHRADER, JULIO NOLAND, MARGIE WADE, MYRTLE FLEMING, NATALIE MEYER, RAMONA HALE, SCOTT SHELLEY, SIDNEY BURLESON, VICKI FIELDS"
EFFECT GLADIATOR,"ADRIAN CLARY, AGNES BISHOP, ALVIN DELOACH, ANA BRADLEY, CALVIN MARTEL, DAISY BATES, DERRICK BOURQUE, EDGAR RHOADS, ENRIQUE FORSYTHE, FRANCIS SIKES, GABRIEL HARDER, JEANETTE GREENE, JERRY JORDON, JOEL FRANCISCO, JUDY GRAY, LENA JENSEN, RAMON CHOATE, REGINA BERRY, RONALD WEINER, ROSS GREY, SHERRI RHODES, STEPHEN QUALLS, SUE PETERS, TERRANCE ROUSH"
EGG IGBY,"CASSANDRA WALTERS, CHRISTOPHER GRECO, CLARENCE GAMEZ, CODY NOLEN, ELMER NOE, EVERETT BANDA, FRANK WAGGONER, GERALDINE PERKINS, HEATHER MORRIS, JOSEPHINE GOMEZ, JUSTIN NGO, LAURA RODRIGUEZ, MEGAN PALMER, PAULINE HENRY, ROGER QUINTANILLA, SANDRA MARTIN, SHARON ROBINSON, SHEILA WELLS, TODD TAN, VELMA LUCAS, WILLIAM SATTERFIELD"
EGYPT TENENBAUMS,"ALVIN DELOACH, ARLENE HARVEY, CASEY MENA, CINDY FISHER, ELEANOR HUNT, JOSE ANDREW, JOSEPH JOY, KIMBERLY LEE, KRISTINA CHAMBERS, LAWRENCE LAWTON, LOUIS LEONE, OSCAR AQUINO, PEGGY MYERS, RENE MCALISTER, ROBERT BAUGHMAN, SAMUEL MARLOW, VIRGINIA GREEN"
ELEMENT FREDDY,"CARL ARTIS, DEBRA NELSON, ERIN DUNN, GEORGIA JACOBS, JACQUELINE LONG, JORGE OLIVARES, LLOYD DOWD, LOIS BUTLER, MANUEL MURRELL, NICHOLAS BARFIELD"
ELEPHANT TROJAN,"CHRISTINA RAMIREZ, CRYSTAL FORD, DAVE GARDINER, EARL SHANKS, ELSIE KELLEY, IDA ANDREWS, ISAAC OGLESBY, JEFFREY SPEAR, JESSICA HALL, JOHNNY TURPIN, JOSEPHINE GOMEZ, JOYCE EDWARDS, PHILLIP HOLM, TRAVIS ESTEP"
ELF MURDER,"ANNIE RUSSELL, BRETT CORNWELL, EDGAR RHOADS, JACOB LANCE, MABEL HOLLAND, MARJORIE TUCKER, SALLY PIERCE"
ELIZABETH SHANE,"BILLY POULIN, CHRISTOPHER GRECO, DAISY BATES, ETHEL WEBB, JOYCE EDWARDS, LONNIE TIRADO, MARIE TURNER, PERRY SWAFFORD, SAMUEL MARLOW, VIOLET RODRIQUEZ"
EMPIRE MALKOVICH,"ANGELA HERNANDEZ, APRIL BURNS, CAROLINE BOWMAN, CHRISTY VARGAS, DEREK BLAKELY, GLADYS HAMILTON, GLEN TALBERT, JENNIFER DAVIS, JULIE SANCHEZ, JUSTIN NGO, LANCE PEMBERTON, MATTIE HOFFMAN, MELISSA KING, RITA GRAHAM, SHIRLEY ALLEN, STELLA MORENO, THEODORE CULP, WADE DELVALLE, WANDA PATTERSON"
ENCINO ELF,"ADRIAN CLARY, BETH FRANKLIN, CARMEN OWENS, CLARA SHAW, CLAUDIA FULLER, ERIK GUILLEN, FELICIA SUTTON, HERMAN DEVORE, JONATHAN SCARBOROUGH, JUDITH COX, JUDY GRAY, KIMBERLY LEE, LAWRENCE LAWTON, LEO EBERT, PHILLIP HOLM, RITA GRAHAM, TONI HOLT, TYRONE ASHER, VICKI FIELDS"
ENCOUNTERS CURTAIN,"ALEX GRESHAM, ALEXANDER FENNELL, CLYDE TOBIAS, DENNIS GILMAN, EMMA BOYD, ERICA MATTHEWS, GLEN TALBERT, GUY BROWNLEE, IRENE PRICE, JUSTIN NGO, LEONARD SCHOFIELD, LOIS BUTLER, MARION SNYDER, MAXINE SILVA, MORRIS MCCARTER, RALPH MADRIGAL, SIDNEY BURLESON, VELMA LUCAS, YOLANDA WEAVER"
ENDING CROWDS,"ANDREA HENDERSON, CALVIN MARTEL, CHRISTIAN JUNG, JAY ROBB, JENNIE TERRY, LUIS YANEZ, MARSHALL THORN, MARTHA GONZALEZ, NATHANIEL ADAM, RUSSELL BRINSON, TERRI VASQUEZ"
ENEMY ODDS,"ALEX GRESHAM, ALLAN CORNISH, CARLOS COUGHLIN, CASSANDRA WALTERS, CHARLIE BESS, CHESTER BENNER, DAISY BATES, DUANE TUBBS, GREG ROBINS, HARRY ARCE, HILDA HOPKINS, JOHNNY TURPIN, JOSHUA MARK, JUAN FRALEY, JULIA FLORES, KRISTIN JOHNSTON, LAURIE LAWRENCE, LEO EBERT, LEROY BUSTAMANTE, LLOYD DOWD, MARIE TURNER, MELANIE ARMSTRONG, NELLIE GARRETT, OSCAR AQUINO, ROBERTO VU, SERGIO STANFIELD, STACEY MONTGOMERY, THOMAS GRIGSBY, VIRGIL WOFFORD"
ENGLISH BULWORTH,"BOB PFEIFFER, CATHY SPENCER, CHARLOTTE HUNTER, DAISY BATES, DEREK BLAKELY, EDGAR RHOADS, EDNA WEST, ELEANOR HUNT, JENNIFER DAVIS, JIMMIE EGGLESTON, JON WILES, JOSEPHINE GOMEZ, KARL SEAL, KATHRYN COLEMAN, KELLY KNOTT, LOUISE JENKINS, MARGIE WADE, MARIAN MENDOZA, MITCHELL WESTMORELAND, NATHAN RUNYON, NORMAN CURRIER, PATSY DAVIDSON, REGINA BERRY, RENE MCALISTER, ROBERT BAUGHMAN, RUSSELL BRINSON, TONI HOLT, TYLER WREN, VIRGIL WOFFORD"
ENOUGH RAGING,"ALFREDO MCADAMS, ANNIE RUSSELL, BRANDON HUEY, BRYAN HARDISON, CHARLES KOWALSKI, DARRYL ASHCRAFT, DIANE COLLINS, ELIZABETH BROWN, EVERETT BANDA, GRACE ELLIS, GUY BROWNLEE, HERMAN DEVORE, JASON MORRISSEY, KAREN JACKSON, KELLY TORRES, KRISTINA CHAMBERS, MITCHELL WESTMORELAND, WALTER PERRYMAN"
ENTRAPMENT SATISFACTION,"BEVERLY BROOKS, ERIKA PENA, GRACE ELLIS, HECTOR POINDEXTER, JAY ROBB, JIM REA, KRISTIN JOHNSTON, LAURA RODRIGUEZ, LESLIE SEWARD, MATHEW BOLIN, RHONDA KENNEDY, SETH HANNON, TONI HOLT, VIRGINIA GREEN, WALLACE SLONE"
ESCAPE METROPOLIS,"ANGELA HERNANDEZ, BOB PFEIFFER, BONNIE HUGHES, BRUCE SCHWARZ, CARMEN OWENS, CASEY MENA, DENISE KELLY, ERIN DUNN, GERALD FULTZ, GINA WILLIAMSON, GLENDA FRAZIER, ISAAC OGLESBY, JAMES GANNON, JILL HAWKINS, KEITH RICO, LEE HAWKS, MAE FLETCHER, MIGUEL BETANCOURT, NINA SOTO, RUSSELL BRINSON, RUTH MARTINEZ, SCOTT SHELLEY, SHANE MILLARD, TAMARA NGUYEN, TRACY COLE"
EVE RESURRECTION,"BRANDON HUEY, GERTRUDE CASTILLO, GILBERT SLEDGE, JORDAN ARCHULETA, RAYMOND MCWHORTER, SARAH LEWIS, VIVIAN RUIZ"
EVERYONE CRAFT,"ADAM GOOCH, ALVIN DELOACH, ANNE POWELL, CLAUDIA FULLER, EDDIE TOMLIN, GLADYS HAMILTON, HEIDI LARSON, KATIE ELLIOTT, LORETTA CARPENTER, PEARL GARZA, ROLAND SOUTH, TIM CARY, VIOLA HANSON"
EVOLUTION ALTER,"ARMANDO GRUBER, EVERETT BANDA, GABRIEL HARDER, GEORGE LINTON, HILDA HOPKINS, KELLY KNOTT, MATHEW BOLIN, NICOLE PETERSON, PAULINE HENRY, SIDNEY BURLESON, SYLVIA ORTIZ, WILMA RICHARDS"
EXCITEMENT EVE,"BERTHA FERGUSON, CARMEN OWENS, CASEY MENA, CHRISTOPHER GRECO, CURTIS IRBY, DENNIS GILMAN, EVELYN MORGAN, FRANKLIN TROUTMAN, GAIL KNIGHT, GERTRUDE CASTILLO, GILBERT SLEDGE, IAN STILL, JEFFERY PINSON, JOYCE EDWARDS, JUDY GRAY, KEN PREWITT, LENA JENSEN, MATTHEW MAHAN, RITA GRAHAM, ROSE HOWARD, SYLVIA ORTIZ"
EXORCIST STING,"ALMA AUSTIN, DAVE GARDINER, DOUGLAS GRAF, HERMAN DEVORE, JENNIFER DAVIS, JOHNNIE CHISHOLM, LEE HAWKS, LOUIS LEONE, NICHOLAS BARFIELD, PEDRO CHESTNUT, RICHARD MCCRARY, VINCENT RALSTON, WALTER PERRYMAN"
EXPECATIONS NATURAL,"AARON SELBY, ALLAN CORNISH, BERNICE WILLIS, DEANNA BYRD, EDWIN BURK, GAIL KNIGHT, IVAN CROMWELL, JACKIE LYNCH, JARED ELY, JOY GEORGE, KURT EMMONS, MARILYN ROSS, MARY SMITH, MICHAEL SILVERMAN, PHILLIP HOLM, STEVE MACKENZIE, TAMARA NGUYEN, ZACHARY HITE"
EXPENDABLE STALLION,"ANGELA HERNANDEZ, BILLIE HORTON, BRITTANY RILEY, CHRISTINA RAMIREZ, CLAUDE HERZOG, DOLORES WAGNER, DON BONE, ELSIE KELLEY, ETHEL WEBB, JACK FOUST, JEANNE LAWSON, JENNY CASTRO, JESSE SCHILLING, JESSICA HALL, JO FOWLER, JOANN GARDNER, JOSEPHINE GOMEZ, JUDITH COX, KEN PREWITT, LAWRENCE LAWTON, MARK RINEHART, MIKE WAY, ROSA REYNOLDS, SUZANNE NICHOLS, TERRI VASQUEZ, TONYA CHAPMAN, TROY QUIGLEY"
EXPRESS LONELY,"ALBERT CROUSE, ALFREDO MCADAMS, CARL ARTIS, DON BONE, EDNA WEST, JORDAN ARCHULETA, KEITH RICO, MARVIN YEE, MEGAN PALMER, SHEILA WELLS, STACY CUNNINGHAM, STELLA MORENO, TROY QUIGLEY"
EXTRAORDINARY CONQUERER,"AMY LOPEZ, CATHERINE CAMPBELL, DAN PAINE, GLENDA FRAZIER, KENNETH GOODEN, MANUEL MURRELL"
EYES DRIVING,"ALFRED CASILLAS, ARTHUR SIMPKINS, CHESTER BENNER, CLIFTON MALCOLM, DANIELLE DANIELS, ELSIE KELLEY, JASON MORRISSEY, JOHNNIE CHISHOLM, JON WILES, JOSHUA MARK, JUNE CARROLL, JUSTIN NGO, MAX PITT, MICHELE GRANT, RICK MATTOX, ROBERTO VU, TERESA ROGERS, WILLIE HOWELL"
FACTORY DRAGON,"DAISY BATES, GINA WILLIAMSON, JANE BENNETT, JEANNE LAWSON, JESSIE BANKS, JESUS MCCARTNEY, JULIAN VEST, KEVIN SCHULER, MABEL HOLLAND, MATTIE HOFFMAN, PEGGY MYERS, ROBERTA HARPER, ROSS GREY, SYLVIA ORTIZ, TERRY CARLSON, VERONICA STONE, VIVIAN RUIZ"
FALCON VOLUME,"ALICE STEWART, CARLOS COUGHLIN, CATHY SPENCER, DARRYL ASHCRAFT, ELMER NOE, GAIL KNIGHT, HELEN HARRIS, JAVIER ELROD, KYLE SPURLOCK, LUCY WHEELER, MAE FLETCHER, MARIE TURNER, MARJORIE TUCKER, MICHELE GRANT, NICHOLAS BARFIELD, RITA GRAHAM, SHAWN HEATON, TED BREAUX, TROY QUIGLEY, TYLER WREN, TYRONE ASHER, WILLIAM SATTERFIELD"
FAMILY SWEET,"ARNOLD HAVENS, AUSTIN CINTRON, CALVIN MARTEL, CASEY MENA, CHERYL MURPHY, CORY MEEHAN, ELEANOR HUNT, ERICA MATTHEWS, JEFF EAST, JULIE SANCHEZ, KEN PREWITT, KRISTEN CHAVEZ, MARC OUTLAW, MARION OCAMPO, MARTHA GONZALEZ, MARVIN YEE, MAX PITT, MIGUEL BETANCOURT, NANCY THOMAS, NAOMI JENNINGS, RAY HOULE, SALLY PIERCE, TERRY CARLSON, TERRY GRISSOM, THERESA WATSON, TOMMY COLLAZO, TONY CARRANZA, VINCENT RALSTON, YVONNE WATKINS"
FANTASIA PARK,"ANDREA HENDERSON, CLYDE TOBIAS, DEREK BLAKELY, FLOYD GANDY, FRANCIS SIKES, GLORIA COOK, IDA ANDREWS, KIM CRUZ, LENA JENSEN, LISA ANDERSON, MELVIN ELLINGTON, RANDALL NEUMANN, ROSS GREY, SHAWN HEATON, SHERRI RHODES, TOMMY COLLAZO, TRACEY BARRETT, WALLACE SLONE"
FANTASY TROOPERS,"ALLEN BUTTERFIELD, ALLISON STANLEY, ALMA AUSTIN, ASHLEY RICHARDSON, CHRISTY VARGAS, CLARENCE GAMEZ, DAISY BATES, ELLEN SIMPSON, GERTRUDE CASTILLO, GLENDA FRAZIER, HOLLY FOX, JILL HAWKINS, JUAN FRALEY, LAWRENCE LAWTON, LOUISE JENKINS, MAE FLETCHER, MATTHEW MAHAN, NANCY THOMAS, NATHAN RUNYON, PATRICIA JOHNSON, SUE PETERS, THEODORE CULP, THERESA WATSON, WAYNE TRUONG"
FARGO GANDHI,"ANDRE RAPP, ASHLEY RICHARDSON, BERNICE WILLIS, BYRON BOX, CARRIE PORTER, CLINTON BUFORD, DAN PAINE, DARRELL POWER, EDWARD BAUGH, GILBERT SLEDGE, HERMAN DEVORE, JAIME NETTLES, JENNIE TERRY, JESUS MCCARTNEY, LEON BOSTIC, LISA ANDERSON, MANUEL MURRELL, MARTHA GONZALEZ, MARVIN YEE, MATTHEW MAHAN, RON DELUCA, TAMMY SANDERS, TONY CARRANZA, TYLER WREN"
FATAL HAUNTED,"ANGEL BARCLAY, BYRON BOX, CHERYL MURPHY, CLARA SHAW, COURTNEY DAY, CRAIG MORRELL, EDGAR RHOADS, ENRIQUE FORSYTHE, ERIK GUILLEN, GAIL KNIGHT, GERALDINE PERKINS, GINA WILLIAMSON, JAMIE WAUGH, JOSEPH JOY, LORRAINE STEPHENS, MARGARET MOORE, MARIA MILLER, MORRIS MCCARTER, PENNY NEAL, RAMONA HALE, SEAN DOUGLASS, STACY CUNNINGHAM, TAMMY SANDERS, TERRANCE ROUSH, TERRI VASQUEZ, TERRY CARLSON, THOMAS GRIGSBY, TIMOTHY BUNN"
FEATHERS METAL,"BOB PFEIFFER, CATHY SPENCER, CLAUDIA FULLER, GERTRUDE CASTILLO, LOIS BUTLER, PHILLIP HOLM, RENE MCALISTER, SHERRI RHODES, TANYA GILBERT, TED BREAUX, WADE DELVALLE"
FELLOWSHIP AUTUMN,"AARON SELBY, BONNIE HUGHES, BRANDON HUEY, BRUCE SCHWARZ, CASSANDRA WALTERS, DOLORES WAGNER, EMMA BOYD, FRANCES PARKER, FRANCIS SIKES, FRANK WAGGONER, GREG ROBINS, JAIME NETTLES, JOHNNIE CHISHOLM, JULIA FLORES, LESTER KRAUS, MARLENE WELCH, MONICA HICKS, PHILLIP HOLM, RAY HOULE, RITA GRAHAM, ROSE HOWARD, SHAWN HEATON, TYLER WREN, VINCENT RALSTON"
FERRIS MOTHER,"ALMA AUSTIN, ANDREW PURDY, ASHLEY RICHARDSON, COLLEEN BURTON, GLADYS HAMILTON, JANET PHILLIPS, JEFF EAST, JIMMIE EGGLESTON, JULIE SANCHEZ, MARY SMITH, OLGA JIMENEZ, PEGGY MYERS, PENNY NEAL, RAMONA HALE, ROSE HOWARD, RUSSELL BRINSON, THELMA MURRAY"
FEUD FROGMEN,"ANA BRADLEY, CLARENCE GAMEZ, CLAUDIA FULLER, CLINTON BUFORD, DANA HART, DIANE COLLINS, EDNA WEST, EDWARD BAUGH, EMILY DIAZ, JACKIE LYNCH, JANE BENNETT, JEANNE LAWSON, JUANITA MASON, JUDITH COX, KEN PREWITT, LAUREN HUDSON, PATSY DAVIDSON, SANDRA MARTIN, TAMMY SANDERS, TERRANCE ROUSH, VICKI FIELDS, VICTORIA GIBSON, WADE DELVALLE, WILLARD LUMPKIN, WILMA RICHARDS"
FEVER EMPIRE,"AARON SELBY, JEAN BELL, KRISTEN CHAVEZ, RENEE LANE, THEODORE CULP"
FICTION CHRISTMAS,"BRENDA WRIGHT, CINDY FISHER, COLLEEN BURTON, CYNTHIA YOUNG, DEANNA BYRD, ERIK GUILLEN, FELICIA SUTTON, JO FOWLER, JOHN FARNSWORTH, JUANITA MASON, LOUIS LEONE, LUCILLE HOLMES, NANCY THOMAS, RAUL FORTIER, REGINA BERRY, RITA GRAHAM, TERRY GRISSOM, WALLACE SLONE"
FIDDLER LOST,"ALFRED CASILLAS, CHARLIE BESS, IVAN CROMWELL, JESSIE MILAM, LINDA WILLIAMS, LYNN PAYNE, MAURICE CRAWLEY, REBECCA SCOTT, VERONICA STONE, VIRGINIA GREEN"
FIDELITY DEVIL,"ANDREA HENDERSON, ANNETTE OLSON, ANTHONY SCHWAB, ARTHUR SIMPKINS, BERTHA FERGUSON, CARL ARTIS, CLIFTON MALCOLM, DON BONE, EILEEN CARR, GARY COY, HELEN HARRIS, IAN STILL, JEAN BELL, JOSE ANDREW, JOSEPHINE GOMEZ, KARL SEAL, MARION SNYDER, PAUL TROUT, REGINA BERRY, RON DELUCA, TINA SIMMONS"
FIGHT JAWBREAKER,"AMANDA CARTER, CHRIS BROTHERS, CRAIG MORRELL, DARRYL ASHCRAFT, DAVE GARDINER, ELIZABETH BROWN, ELMER NOE, ERIN DUNN, GORDON ALLARD, GREGORY MAULDIN, IAN STILL, JUANITA MASON, LANCE PEMBERTON, LEONARD SCHOFIELD, MARILYN ROSS, OLGA JIMENEZ, PENNY NEAL, REBECCA SCOTT, RODNEY MOELLER, ROGER QUINTANILLA, SARA PERRY, WESLEY BULL"
FINDING ANACONDA,"ALBERTO HENNING, AUDREY RAY, CLIFFORD BOWENS, DELORES HANSEN, JAMES GANNON, KEITH RICO, MARC OUTLAW, MARY SMITH, MIGUEL BETANCOURT, PATSY DAVIDSON, VICTORIA GIBSON, WAYNE TRUONG"
FIRE WOLVES,"ADAM GOOCH, CRYSTAL FORD, KIMBERLY LEE, MARIAN MENDOZA, MARY SMITH, SERGIO STANFIELD, SHERRI RHODES"
FIREBALL PHILADELPHIA,"ALICE STEWART, ALICIA MILLS, ALLISON STANLEY, CLYDE TOBIAS, CRYSTAL FORD, GLORIA COOK, JAVIER ELROD, JULIE SANCHEZ, KATHERINE RIVERA, KELLY TORRES, KRISTINA CHAMBERS, MARTIN BALES, MARY SMITH, PAMELA BAKER, RON DELUCA, SALVADOR TEEL, SHARON ROBINSON, STEVE MACKENZIE, TERRENCE GUNDERSON, VIOLA HANSON"
FISH OPUS,"AGNES BISHOP, ARTHUR SIMPKINS, CAROLYN PEREZ, CHARLES KOWALSKI, CHARLIE BESS, DELORES HANSEN, DOLORES WAGNER, EDGAR RHOADS, ERIC ROBERT, FELICIA SUTTON, JEREMY HURTADO, JO FOWLER, LESLIE GORDON, LILLIAN GRIFFIN, LONNIE TIRADO, MICHEAL FORMAN, MIKE WAY, PATSY DAVIDSON, PEGGY MYERS, SARAH LEWIS, SETH HANNON, TAMARA NGUYEN, TOM MILNER, VICKIE BREWER, WILMA RICHARDS"
